time,quarter,holiday,is_peak,text,code,temperature,humidity,windSpeed,cloud,load,meter
2025-07-01 00:00:00,0,1,0,雾,501,27,94,1,2,210.3240203857422,425.1814880371094
2025-07-01 00:15:00,1,1,0,雾,501,27,94,1,2,204.10057576497397,441.8638000488281
2025-07-01 00:30:00,2,1,0,雾,501,27,94,1,2,205.3674570719401,443.2513732910156
2025-07-01 00:45:00,3,1,0,雾,501,27,94,1,2,198.97607930501303,436.88758341471356
2025-07-01 01:00:00,4,1,0,雾,501,26,96,1,2,199.75459798177084,437.67529296875
2025-07-01 01:15:00,5,1,0,雾,501,26,96,1,2,207.6542510986328,445.63356526692706
2025-07-01 01:30:00,6,1,0,雾,501,26,96,1,2,209.2694346110026,447.2177022298177
2025-07-01 01:45:00,7,1,0,雾,501,26,96,1,2,203.5014851888021,441.46241251627606
2025-07-01 02:00:00,8,1,0,雾,501,26,96,3,2,198.1097666422526,436.0442606608073
2025-07-01 02:15:00,9,1,0,雾,501,26,96,3,2,206.66356404622397,444.6819559733073
2025-07-01 02:30:00,10,1,0,雾,501,26,96,3,2,210.16449991861978,448.1840311686198
2025-07-01 02:45:00,11,1,0,雾,501,26,96,3,2,205.3160858154297,442.9597574869792
2025-07-01 03:00:00,12,1,0,雾,501,27,95,5,1,204.61907958984375,442.68689982096356
2025-07-01 03:15:00,13,1,0,雾,501,27,95,5,1,200.1710408528646,438.2239176432292
2025-07-01 03:30:00,14,1,0,雾,501,27,95,5,1,205.2318318684896,443.2663167317708
2025-07-01 03:45:00,15,1,0,雾,501,27,95,5,1,199.36023457845053,437.4200032552083
2025-07-01 04:00:00,16,1,0,雾,501,27,96,4,1,194.5695343017578,432.63621012369794
2025-07-01 04:15:00,17,1,0,雾,501,27,96,4,1,211.44977823893228,449.1175944010417
2025-07-01 04:30:00,18,1,0,雾,501,27,96,4,1,225.65757751464844,463.70815022786456
2025-07-01 04:45:00,19,1,0,雾,501,27,96,4,1,208.5724080403646,446.26161702473956
2025-07-01 05:00:00,20,1,0,多云,101,28,94,6,0,205.86378479003906,441.6195373535156
2025-07-01 05:15:00,21,1,0,多云,101,28,94,6,0,217.40310668945312,427.24114990234375
2025-07-01 05:30:00,22,1,0,多云,101,28,94,6,0,211.2889658610026,369.4050598144531
2025-07-01 05:45:00,23,1,0,多云,101,28,94,6,0,216.6139119466146,369.9204610188802
2025-07-01 06:00:00,24,1,0,晴,100,29,87,12,91,191.39343770345053,199.8936767578125
2025-07-01 06:15:00,25,1,0,晴,100,29,87,12,91,193.9031016031901,155.27470906575522
2025-07-01 06:30:00,26,1,0,晴,100,29,87,12,91,216.7802276611328,161.66045633951822
2025-07-01 06:45:00,27,1,0,晴,100,29,87,12,91,242.9258575439453,169.22689310709634
2025-07-01 07:00:00,28,1,0,晴,100,30,80,17,10,356.20069376627606,262.38035074869794
2025-07-01 07:15:00,29,1,0,晴,100,30,80,17,10,338.6175842285156,225.06045532226562
2025-07-01 07:30:00,30,1,0,晴,100,30,80,17,10,283.33115641276044,151.0055185953776
2025-07-01 07:45:00,31,1,0,晴,100,30,80,17,10,293.68137613932294,142.62310282389322
2025-07-01 08:00:00,32,1,1,晴,100,32,71,13,91,381.3172302246094,212.73517354329428
2025-07-01 08:15:00,33,1,1,晴,100,32,71,13,91,629.4697672526041,463.7799886067708
2025-07-01 08:30:00,34,1,1,晴,100,32,71,13,91,680.3773600260416,543.0523071289062
2025-07-01 08:45:00,35,1,1,晴,100,32,71,13,91,654.5357462565104,531.3003336588541
2025-07-01 09:00:00,36,1,1,晴,100,33,69,12,96,645.0926513671875,504.3317159016927
2025-07-01 09:15:00,37,1,1,晴,100,33,69,12,96,650.6910196940104,456.0820617675781
2025-07-01 09:30:00,38,1,1,晴,100,33,69,12,96,647.8411661783854,426.77711995442706
2025-07-01 09:45:00,39,1,1,晴,100,33,69,12,96,629.1383870442709,404.9106852213542
2025-07-01 10:00:00,40,1,1,晴,100,34,63,14,94,646.8829956054688,420.9794209798177
2025-07-01 10:15:00,41,1,1,晴,100,34,63,14,94,645.2958780924479,417.8847147623698
2025-07-01 10:30:00,42,1,1,晴,100,34,63,14,94,659.9564412434896,431.12493896484375
2025-07-01 10:45:00,43,1,1,晴,100,34,63,14,94,675.0309041341146,445.759765625
2025-07-01 11:00:00,44,1,1,晴,100,35,54,12,92,672.3139241536459,442.9871317545573
2025-07-01 11:15:00,45,1,1,晴,100,35,54,12,92,674.0885009765625,443.47655232747394
2025-07-01 11:30:00,46,1,1,晴,100,35,54,12,92,610.8044840494791,383.84034220377606
2025-07-01 11:45:00,47,1,1,晴,100,35,54,12,92,596.6990763346354,366.37632242838544
2025-07-01 12:00:00,48,1,1,晴,100,36,51,10,95,561.26171875,332.9541320800781
2025-07-01 12:15:00,49,1,1,晴,100,36,51,10,95,562.9030965169271,336.1240234375
2025-07-01 12:30:00,50,1,1,晴,100,36,51,10,95,553.9562174479166,349.71022542317706
2025-07-01 12:45:00,51,1,1,晴,100,36,51,10,95,555.1221923828125,327.3293151855469
2025-07-01 13:00:00,52,1,1,晴,100,36,51,12,97,638.1048380533854,410.4149475097656
2025-07-01 13:15:00,53,1,1,晴,100,36,51,12,97,634.9307047526041,410.33966064453125
2025-07-01 13:30:00,54,1,1,晴,100,36,51,12,97,652.7401123046875,440.8517252604167
2025-07-01 13:45:00,55,1,1,晴,100,36,51,12,97,665.1298828125,474.19321695963544
2025-07-01 14:00:00,56,1,1,晴,100,36,52,9,100,671.7371419270834,44.32057444254557
2025-07-01 14:15:00,57,1,1,晴,100,36,52,9,100,669.2095540364584,40.31793085734049
2025-07-01 14:30:00,58,1,1,晴,100,36,52,9,100,666.1292928059896,46.90816116333008
2025-07-01 14:45:00,59,1,1,晴,100,36,52,9,100,659.8732096354166,45.34827550252279
2025-07-01 15:00:00,60,1,1,晴,100,36,49,10,100,665.8847045898438,44.02218246459961
2025-07-01 15:15:00,61,1,1,晴,100,36,49,10,100,674.8999837239584,62.843448638916016
2025-07-01 15:30:00,62,1,1,晴,100,36,49,10,100,670.5042317708334,506.53826904296875
2025-07-01 15:45:00,63,1,1,晴,100,36,49,10,100,662.4264526367188,494.6793212890625
2025-07-01 16:00:00,64,1,1,多云,101,36,53,9,100,660.0005696614584,510.68068440755206
2025-07-01 16:15:00,65,1,1,多云,101,36,53,9,100,651.6282755533854,521.222646077474
2025-07-01 16:30:00,66,1,1,多云,101,36,53,9,100,661.9735717773438,529.4903564453125
2025-07-01 16:45:00,67,1,1,多云,101,36,53,9,100,651.8835245768229,534.1310221354166
2025-07-01 17:00:00,68,1,1,多云,101,34,56,11,100,649.7302449544271,535.2335611979166
2025-07-01 17:15:00,69,1,1,多云,101,34,56,11,100,586.2380777994791,519.9867858886719
2025-07-01 17:30:00,70,1,0,多云,101,34,56,11,100,431.4658711751302,408.73656209309894
2025-07-01 17:45:00,71,1,0,多云,101,34,56,11,100,406.71771240234375,385.287353515625
2025-07-01 18:00:00,72,1,0,阴,104,34,60,9,100,419.7306823730469,399.2151692708333
2025-07-01 18:15:00,73,1,0,阴,104,34,60,9,100,409.0425211588542,391.7662048339844
2025-07-01 18:30:00,74,1,0,阴,104,34,60,9,100,418.2663065592448,45.480690002441406
2025-07-01 18:45:00,75,1,0,阴,104,34,60,9,100,399.0644836425781,38.2027587890625
2025-07-01 19:00:00,76,1,0,阴,104,33,61,8,100,379.7810363769531,42.47781626383463
2025-07-01 19:15:00,77,1,0,阴,104,33,61,8,100,372.2098897298177,41.101609547932945
2025-07-01 19:30:00,78,1,0,阴,104,33,61,8,100,369.8074645996094,38.56494140625
2025-07-01 19:45:00,79,1,0,阴,104,33,61,8,100,379.34079996744794,107.50976943969727
2025-07-01 20:00:00,80,1,0,阴,104,31,69,10,100,373.1266682942708,319.8818359375
2025-07-01 20:15:00,81,1,0,阴,104,31,69,10,100,332.8812662760417,332.8812662760417
2025-07-01 20:30:00,82,1,0,阴,104,31,69,10,100,248.92367553710938,248.92367553710938
2025-07-01 20:45:00,83,1,0,阴,104,31,69,10,100,251.72482299804688,251.72482299804688
2025-07-01 21:00:00,84,1,0,阴,104,32,61,13,98,222.18023173014322,222.18023173014322
2025-07-01 21:15:00,85,1,0,阴,104,32,61,13,98,226.2889658610026,226.2889658610026
2025-07-01 21:30:00,86,1,0,阴,104,32,61,13,98,220.38080342610678,220.38080342610678
2025-07-01 21:45:00,87,1,0,阴,104,32,61,13,98,215.35804748535156,215.35804748535156
2025-07-01 22:00:00,88,1,0,多云,151,30,70,5,96,221.53333536783853,221.53333536783853
2025-07-01 22:15:00,89,1,0,多云,151,30,70,5,96,229.5764414469401,229.5764414469401
2025-07-01 22:30:00,90,1,0,多云,151,30,70,5,96,229.38034057617188,229.38034057617188
2025-07-01 22:45:00,91,1,0,多云,151,30,70,5,96,228.4071248372396,228.4071248372396
2025-07-01 23:00:00,92,1,0,多云,151,30,74,7,94,221.9160919189453,221.9160919189453
2025-07-01 23:15:00,93,1,0,多云,151,30,74,7,94,213.6365509033203,213.6365509033203
2025-07-01 23:30:00,94,1,0,多云,151,30,74,7,94,229.57344563802084,229.57344563802084
2025-07-01 23:45:00,95,1,0,多云,151,30,74,7,94,223.28528340657553,223.28528340657553
2025-07-02 00:00:00,0,1,0,多云,151,30,76,13,91,232.2022959391276,443.44598388671875
2025-07-02 00:15:00,1,1,0,多云,151,30,76,13,91,226.72379557291666,464.3628743489583
2025-07-02 00:30:00,2,1,0,多云,151,30,76,13,91,221.04712422688803,458.7643636067708
2025-07-02 00:45:00,3,1,0,多云,151,30,76,13,91,209.91172790527344,447.6737976074219
2025-07-02 01:00:00,4,1,0,晴,150,29,81,4,91,224.56091817220053,462.3735656738281
2025-07-02 01:15:00,5,1,0,晴,150,29,81,4,91,228.0632069905599,465.91033935546875
2025-07-02 01:30:00,6,1,0,晴,150,29,81,4,91,234.69056193033853,472.51355997721356
2025-07-02 01:45:00,7,1,0,晴,150,29,81,4,91,221.58299255371094,459.43357340494794
2025-07-02 02:00:00,8,1,0,晴,150,29,84,7,91,218.56126912434897,456.4095458984375
2025-07-02 02:15:00,9,1,0,晴,150,29,84,7,91,228.77689107259116,466.6194254557292
2025-07-02 02:30:00,10,1,0,晴,150,29,84,7,91,229.58975728352866,467.4552815755208
2025-07-02 02:45:00,11,1,0,晴,150,29,84,7,91,236.25287882486978,474.1758626302083
2025-07-02 03:00:00,12,1,0,晴,150,28,86,2,91,222.15792846679688,460.11769612630206
2025-07-02 03:15:00,13,1,0,晴,150,28,86,2,91,220.19034322102866,457.7731018066406
2025-07-02 03:30:00,14,1,0,晴,150,28,86,2,91,219.12034606933594,457.0881652832031
2025-07-02 03:45:00,15,1,0,晴,150,28,86,2,91,229.6595458984375,467.6273600260417
2025-07-02 04:00:00,16,1,0,多云,151,28,88,7,93,231.5567881266276,469.50966389973956
2025-07-02 04:15:00,17,1,0,多云,151,28,88,7,93,237.04517618815103,474.99229939778644
2025-07-02 04:30:00,18,1,0,多云,151,28,88,7,93,240.10034688313803,478.07391357421875
2025-07-02 04:45:00,19,1,0,多云,151,28,88,7,93,236.6360829671224,473.82586669921875
2025-07-02 05:00:00,20,1,0,多云,101,28,89,4,99,229.14160664876303,463.5680440266927
2025-07-02 05:15:00,21,1,0,多云,101,28,89,4,99,235.5234375,413.2052815755208
2025-07-02 05:30:00,22,1,0,多云,101,28,89,4,99,236.43677266438803,388.23252360026044
2025-07-02 05:45:00,23,1,0,多云,101,28,89,4,99,240.8072306315104,382.9385070800781
2025-07-02 06:00:00,24,1,0,多云,101,29,82,12,10,232.03425089518228,229.03091939290366
2025-07-02 06:15:00,25,1,0,多云,101,29,82,12,10,228.89690144856772,179.47919718424478
2025-07-02 06:30:00,26,1,0,多云,101,29,82,12,10,239.97217814127603,181.9849395751953
2025-07-02 06:45:00,27,1,0,多云,101,29,82,12,10,266.779541015625,192.96149698893228
2025-07-02 07:00:00,28,1,0,多云,101,31,79,16,10,381.18080647786456,295.0124104817708
2025-07-02 07:15:00,29,1,0,多云,101,31,79,16,10,366.70884195963544,262.9125264485677
2025-07-02 07:30:00,30,1,0,多云,101,31,79,16,10,310.4375813802083,183.5287322998047
2025-07-02 07:45:00,31,1,0,多云,101,31,79,16,10,303.70184326171875,160.43896484375
2025-07-02 08:00:00,32,1,1,多云,101,32,73,11,10,404.7709248860677,230.07815551757812
2025-07-02 08:15:00,33,1,1,多云,101,32,73,11,10,689.4572143554688,512.4718221028646
2025-07-02 08:30:00,34,1,1,多云,101,32,73,11,10,722.6060791015625,533.6401163736979
2025-07-02 08:45:00,35,1,1,多云,101,32,73,11,10,689.7529907226562,520.8011474609375
2025-07-02 09:00:00,36,1,1,多云,101,33,69,10,10,685.4063110351562,506.1068929036458
2025-07-02 09:15:00,37,1,1,多云,101,33,69,10,10,697.3443400065104,506.97987874348956
2025-07-02 09:30:00,38,1,1,多云,101,33,69,10,10,693.5089721679688,497.92702229817706
2025-07-02 09:45:00,39,1,1,多云,101,33,69,10,10,694.761962890625,495.85528564453125
2025-07-02 10:00:00,40,1,1,多云,101,34,65,6,10,692.8427734375,487.94666544596356
2025-07-02 10:15:00,41,1,1,多云,101,34,65,6,10,680.1348266601562,463.78310139973956
2025-07-02 10:30:00,42,1,1,多云,101,34,65,6,10,683.4519653320312,457.9788513183594
2025-07-02 10:45:00,43,1,1,多云,101,34,65,6,10,694.7288614908854,468.5897725423177
2025-07-02 11:00:00,44,1,1,多云,101,36,54,13,10,702.0393269856771,476.21045939127606
2025-07-02 11:15:00,45,1,1,多云,101,36,54,13,10,702.8737996419271,477.93288167317706
2025-07-02 11:30:00,46,1,1,多云,101,36,54,13,10,652.9881591796875,426.899658203125
2025-07-02 11:45:00,47,1,1,多云,101,36,54,13,10,613.6123250325521,391.1403503417969
2025-07-02 12:00:00,48,1,1,多云,101,37,53,16,10,584.7628784179688,361.5755208333333
2025-07-02 12:15:00,49,1,1,多云,101,37,53,16,10,579.9451904296875,356.62746175130206
2025-07-02 12:30:00,50,1,1,多云,101,37,53,16,10,582.6698811848959,363.5798848470052
2025-07-02 12:45:00,51,1,1,多云,101,37,53,16,10,595.739990234375,374.4868977864583
2025-07-02 13:00:00,52,1,1,多云,101,37,49,9,10,678.0475667317709,491.6648254394531
2025-07-02 13:15:00,53,1,1,多云,101,37,49,9,10,653.4116007486979,500.4916076660156
2025-07-02 13:30:00,54,1,1,多云,101,37,49,9,10,664.1939086914062,513.5932108561198
2025-07-02 13:45:00,55,1,1,多云,101,37,49,9,10,691.4116007486979,523.3111368815104
2025-07-02 14:00:00,56,1,1,多云,101,37,50,9,10,699.2895711263021,45.47436777750651
2025-07-02 14:15:00,57,1,1,多云,101,37,50,9,10,732.0335693359375,63.52138010660807
2025-07-02 14:30:00,58,1,1,多云,101,37,50,9,10,723.3220621744791,75.83839162190755
2025-07-02 14:45:00,59,1,1,多云,101,37,50,9,10,726.6832275390625,109.52885182698567
2025-07-02 15:00:00,60,1,1,多云,101,37,47,3,10,728.6825154622396,487.6783854166667
2025-07-02 15:15:00,61,1,1,多云,101,37,47,3,10,716.3010050455729,517.8143615722656
2025-07-02 15:30:00,62,1,1,多云,101,37,47,3,10,703.5712687174479,516.5899963378906
2025-07-02 15:45:00,63,1,1,多云,101,37,47,3,10,685.7396443684896,509.8697814941406
2025-07-02 16:00:00,64,1,1,多云,101,36,54,5,10,682.1527303059896,520.5711466471354
2025-07-02 16:15:00,65,1,1,多云,101,36,54,5,10,686.1910400390625,532.7820638020834
2025-07-02 16:30:00,66,1,1,多云,101,36,54,5,10,689.9143676757812,528.9047241210938
2025-07-02 16:45:00,67,1,1,多云,101,36,54,5,10,683.6351725260416,531.9267781575521
2025-07-02 17:00:00,68,1,1,多云,101,36,53,4,10,684.5010375976562,533.4267781575521
2025-07-02 17:15:00,69,1,1,多云,101,36,53,4,10,605.9794311523438,518.7217305501302
2025-07-02 17:30:00,70,1,0,多云,101,36,53,4,10,516.6525370279948,486.2033386230469
2025-07-02 17:45:00,71,1,0,多云,101,36,53,4,10,466.57643636067706,442.9854024251302
2025-07-02 18:00:00,72,1,0,晴,100,35,60,6,10,454.40529378255206,433.44655354817706
2025-07-02 18:15:00,73,1,0,晴,100,35,60,6,10,427.0232238769531,411.6595458984375
2025-07-02 18:30:00,74,1,0,晴,100,35,60,6,10,436.99610392252606,426.79930623372394
2025-07-02 18:45:00,75,1,0,晴,100,35,60,6,10,414.4878234863281,409.17034912109375
2025-07-02 19:00:00,76,1,0,多云,151,33,61,8,10,428.9246012369792,427.2589619954427
2025-07-02 19:15:00,77,1,0,多云,151,33,61,8,10,428.2237955729167,427.96034749348956
2025-07-02 19:30:00,78,1,0,多云,151,33,61,8,10,431.81597900390625,43.97919591267904
2025-07-02 19:45:00,79,1,0,多云,151,33,61,8,10,429.6917012532552,42.7986208597819
2025-07-02 20:00:00,80,1,0,晴,150,33,65,8,7,418.86655680338544,40.34011459350586
2025-07-02 20:15:00,81,1,0,晴,150,33,65,8,7,404.7454121907552,39.028160095214844
2025-07-02 20:30:00,82,1,0,晴,150,33,65,8,7,281.36976114908856,46.08241271972656
2025-07-02 20:45:00,83,1,0,晴,150,33,65,8,7,277.4183858235677,48.344827016194664
2025-07-02 21:00:00,84,1,0,晴,150,32,66,4,7,274.5144856770833,49.22712707519531
2025-07-02 21:15:00,85,1,0,晴,150,32,66,4,7,263.7222900390625,48.522299448649086
2025-07-02 21:30:00,86,1,0,晴,150,32,66,4,7,240.2420654296875,46.49494171142578
2025-07-02 21:45:00,87,1,0,晴,150,32,66,4,7,245.93217976888022,69.58275985717773
2025-07-02 22:00:00,88,1,0,晴,150,31,73,6,3,254.61263529459634,252.91263834635416
2025-07-02 22:15:00,89,1,0,晴,150,31,73,6,3,250.9660898844401,250.9660898844401
2025-07-02 22:30:00,90,1,0,晴,150,31,73,6,3,245.84597778320312,245.84597778320312
2025-07-02 22:45:00,91,1,0,晴,150,31,73,6,3,244.39655049641928,244.39655049641928
2025-07-02 23:00:00,92,1,0,晴,150,30,75,10,1,239.20516967773438,239.20516967773438
2025-07-02 23:15:00,93,1,0,晴,150,30,75,10,1,240.7362060546875,240.7362060546875
2025-07-02 23:30:00,94,1,0,晴,150,30,75,10,1,251.9056396484375,251.9056396484375
2025-07-02 23:45:00,95,1,0,晴,150,30,75,10,1,260.6583964029948,260.6583964029948
2025-07-03 00:00:00,0,1,0,晴,150,30,77,6,1,261.6166687011719,474.1718444824219
2025-07-03 00:15:00,1,1,0,晴,150,30,77,6,1,245.52425130208334,483.088623046875
2025-07-03 00:30:00,2,1,0,晴,150,30,77,6,1,231.8547108968099,469.5478108723958
2025-07-03 00:45:00,3,1,0,晴,150,30,77,6,1,234.89929707845053,472.61424763997394
2025-07-03 01:00:00,4,1,0,晴,150,30,78,15,1,248.69080607096353,486.41839599609375
2025-07-03 01:15:00,5,1,0,晴,150,30,78,15,1,247.99309285481772,485.7287292480469
2025-07-03 01:30:00,6,1,0,晴,150,30,78,15,1,250.6480458577474,488.0319519042969
2025-07-03 01:45:00,7,1,0,晴,150,30,78,15,1,240.17667134602866,477.9571228027344
2025-07-03 02:00:00,8,1,0,晴,150,29,81,14,1,233.58919270833334,471.42942301432294
2025-07-03 02:15:00,9,1,0,晴,150,29,81,14,1,234.70826721191406,472.5427551269531
2025-07-03 02:30:00,10,1,0,晴,150,29,81,14,1,244.78918965657553,482.60988362630206
2025-07-03 02:45:00,11,1,0,晴,150,29,81,14,1,249.3310343424479,487.20689900716144
2025-07-03 03:00:00,12,1,0,晴,150,29,84,12,1,238.55826822916666,476.4582824707031
2025-07-03 03:15:00,13,1,0,晴,150,29,84,12,1,234.3419392903646,472.2798767089844
2025-07-03 03:30:00,14,1,0,晴,150,29,84,12,1,242.44930013020834,480.3665466308594
2025-07-03 03:45:00,15,1,0,晴,150,29,84,12,1,244.4563191731771,482.3873596191406
2025-07-03 04:00:00,16,1,0,晴,150,28,87,5,0,238.96035766601562,476.8925374348958
2025-07-03 04:15:00,17,1,0,晴,150,28,87,5,0,247.79276021321616,485.7375895182292
2025-07-03 04:30:00,18,1,0,晴,150,28,87,5,0,249.0735626220703,486.9793192545573
2025-07-03 04:45:00,19,1,0,晴,150,28,87,5,0,241.38230895996094,477.87713623046875
2025-07-03 05:00:00,20,1,0,晴,100,28,86,6,0,243.9372304280599,465.1771240234375
2025-07-03 05:15:00,21,1,0,晴,100,28,86,6,0,240.98747762044272,402.4618428548177
2025-07-03 05:30:00,22,1,0,晴,100,28,86,6,0,241.8539021809896,398.2138977050781
2025-07-03 05:45:00,23,1,0,晴,100,28,86,6,0,243.42379760742188,393.5051676432292
2025-07-03 06:00:00,24,1,0,晴,100,29,81,8,10,229.97839864095053,241.44574991861978
2025-07-03 06:15:00,25,1,0,晴,100,29,81,8,10,233.16724141438803,191.5578155517578
2025-07-03 06:30:00,26,1,0,晴,100,29,81,8,10,244.29459635416666,187.44827270507812
2025-07-03 06:45:00,27,1,0,晴,100,29,81,8,10,272.33412679036456,197.3685048421224
2025-07-03 07:00:00,28,1,0,晴,100,31,76,16,91,395.1267801920573,300.724365234375
2025-07-03 07:15:00,29,1,0,晴,100,31,76,16,91,364.79126993815106,251.0951690673828
2025-07-03 07:30:00,30,1,0,晴,100,31,76,16,91,322.82861328125,190.17493693033853
2025-07-03 07:45:00,31,1,0,晴,100,31,76,16,91,317.1883850097656,166.29126485188803
2025-07-03 08:00:00,32,1,1,晴,100,32,73,13,91,406.6946105957031,237.98080444335938
2025-07-03 08:15:00,33,1,1,晴,100,32,73,13,91,660.3701171875,485.96814982096356
2025-07-03 08:30:00,34,1,1,晴,100,32,73,13,91,691.7172241210938,523.0996500651041
2025-07-03 08:45:00,35,1,1,晴,100,32,73,13,91,655.779296875,477.0110371907552
2025-07-03 09:00:00,36,1,1,晴,100,33,68,13,91,637.6942545572916,428.5970153808594
2025-07-03 09:15:00,37,1,1,晴,100,33,68,13,91,669.1256306966146,455.3232116699219
2025-07-03 09:30:00,38,1,1,晴,100,33,68,13,91,680.8024088541666,462.48195393880206
2025-07-03 09:45:00,39,1,1,晴,100,33,68,13,91,729.7946980794271,507.6371256510417
2025-07-03 10:00:00,40,1,1,晴,100,35,62,9,10,715.5241495768229,491.4877014160156
2025-07-03 10:15:00,41,1,1,晴,100,35,62,9,10,694.7552897135416,470.6521809895833
2025-07-03 10:30:00,42,1,1,晴,100,35,62,9,10,686.1181640625,460.38759358723956
2025-07-03 10:45:00,43,1,1,晴,100,35,62,9,10,684.3167928059896,456.6111551920573
2025-07-03 11:00:00,44,1,1,晴,100,36,57,17,10,707.909912109375,480.9647216796875
2025-07-03 11:15:00,45,1,1,晴,100,36,57,17,10,681.3638916015625,455.8096516927083
2025-07-03 11:30:00,46,1,1,晴,100,36,57,17,10,633.4806925455729,410.74988810221356
2025-07-03 11:45:00,47,1,1,晴,100,36,57,17,10,595.5338948567709,370.9014892578125
