time,quarter,holiday,is_peak,text,code,temperature,humidity,windSpeed,cloud
2025-08-15 00:00:00,0,1,0,晴,150,28,86,16,0
2025-08-15 00:15:00,1,1,0,晴,150,28,86,16,0
2025-08-15 00:30:00,2,1,0,晴,150,28,86,16,0
2025-08-15 00:45:00,3,1,0,晴,150,28,86,16,0
2025-08-15 01:00:00,4,1,0,晴,150,28,87,14,1
2025-08-15 01:15:00,5,1,0,晴,150,28,87,14,1
2025-08-15 01:30:00,6,1,0,晴,150,28,87,14,1
2025-08-15 01:45:00,7,1,0,晴,150,28,87,14,1
2025-08-15 02:00:00,8,1,0,晴,150,28,88,14,1
2025-08-15 02:15:00,9,1,0,晴,150,28,88,14,1
2025-08-15 02:30:00,10,1,0,晴,150,28,88,14,1
2025-08-15 02:45:00,11,1,0,晴,150,28,88,14,1
2025-08-15 03:00:00,12,1,0,晴,150,28,88,14,1
2025-08-15 03:15:00,13,1,0,晴,150,28,88,14,1
2025-08-15 03:30:00,14,1,0,晴,150,28,88,14,1
2025-08-15 03:45:00,15,1,0,晴,150,28,88,14,1
2025-08-15 04:00:00,16,1,0,晴,150,28,89,14,0
2025-08-15 04:15:00,17,1,0,晴,150,28,89,14,0
2025-08-15 04:30:00,18,1,0,晴,150,28,89,14,0
2025-08-15 04:45:00,19,1,0,晴,150,28,89,14,0
2025-08-15 05:00:00,20,1,0,晴,150,27,89,14,0
2025-08-15 05:15:00,21,1,0,晴,150,27,89,14,0
2025-08-15 05:30:00,22,1,0,晴,150,27,89,14,0
2025-08-15 05:45:00,23,1,0,晴,150,27,89,14,0
2025-08-15 06:00:00,24,1,0,晴,100,28,87,14,0
2025-08-15 06:15:00,25,1,0,晴,100,28,87,14,0
2025-08-15 06:30:00,26,1,0,晴,100,28,87,14,0
2025-08-15 06:45:00,27,1,0,晴,100,28,87,14,0
2025-08-15 07:00:00,28,1,0,晴,100,29,86,16,0
2025-08-15 07:15:00,29,1,0,晴,100,29,86,16,0
2025-08-15 07:30:00,30,1,0,晴,100,29,86,16,0
2025-08-15 07:45:00,31,1,0,晴,100,29,86,16,0
2025-08-15 08:00:00,32,1,0,晴,100,30,80,18,0
2025-08-15 08:15:00,33,1,0,晴,100,30,80,18,0
2025-08-15 08:30:00,34,1,0,晴,100,30,80,18,0
2025-08-15 08:45:00,35,1,0,晴,100,30,80,18,0
2025-08-15 09:00:00,36,1,0,晴,100,31,75,18,0
2025-08-15 09:15:00,37,1,0,晴,100,31,75,18,0
2025-08-15 09:30:00,38,1,0,晴,100,31,75,18,0
2025-08-15 09:45:00,39,1,0,晴,100,31,75,18,0
2025-08-15 10:00:00,40,1,0,晴,100,32,69,20,1
2025-08-15 10:15:00,41,1,0,晴,100,32,69,20,1
2025-08-15 10:30:00,42,1,0,晴,100,32,69,20,1
2025-08-15 10:45:00,43,1,0,晴,100,32,69,20,1
2025-08-15 11:00:00,44,1,0,晴,100,33,65,20,1
2025-08-15 11:15:00,45,1,0,晴,100,33,65,20,1
2025-08-15 11:30:00,46,1,0,晴,100,33,65,20,1
2025-08-15 11:45:00,47,1,0,晴,100,33,65,20,1
2025-08-15 12:00:00,48,1,0,晴,100,34,62,20,6
2025-08-15 12:15:00,49,1,0,晴,100,34,62,20,6
2025-08-15 12:30:00,50,1,0,晴,100,34,62,20,6
2025-08-15 12:45:00,51,1,0,晴,100,34,62,20,6
2025-08-15 13:00:00,52,1,0,晴,100,34,60,18,11
2025-08-15 13:15:00,53,1,0,晴,100,34,60,18,11
2025-08-15 13:30:00,54,1,0,晴,100,34,60,18,11
2025-08-15 13:45:00,55,1,0,晴,100,34,60,18,11
2025-08-15 14:00:00,56,1,0,晴,100,35,58,18,16
2025-08-15 14:15:00,57,1,0,晴,100,35,58,18,16
2025-08-15 14:30:00,58,1,0,晴,100,35,58,18,16
2025-08-15 14:45:00,59,1,0,晴,100,35,58,18,16
2025-08-15 15:00:00,60,1,0,晴,100,34,60,18,14
2025-08-15 15:15:00,61,1,0,晴,100,34,60,18,14
2025-08-15 15:30:00,62,1,0,晴,100,34,60,18,14
2025-08-15 15:45:00,63,1,0,晴,100,34,60,18,14
2025-08-15 16:00:00,64,1,0,晴,100,34,62,16,12
2025-08-15 16:15:00,65,1,0,晴,100,34,62,16,12
2025-08-15 16:30:00,66,1,0,晴,100,34,62,16,12
2025-08-15 16:45:00,67,1,0,晴,100,34,62,16,12
2025-08-15 17:00:00,68,1,0,晴,100,34,65,16,10
2025-08-15 17:15:00,69,1,0,晴,100,34,65,16,10
2025-08-15 17:30:00,70,1,0,晴,100,34,65,16,10
2025-08-15 17:45:00,71,1,0,晴,100,34,65,16,10
2025-08-15 18:00:00,72,1,0,晴,100,33,69,16,7
